,docket_number,violation_number,issued_date,issuing_department,last_hearing_date,property_address,violation_type,entity_or_person_s_,disposition_description,total_fines,total_administrative_costs,interest_amount,collection_costs_or_attorney_fees,court_cost,original_total_amount_due,total_paid,current_amount_due,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
4941,15CP142728,P004944413|P004944414|P004944415|P004944416|P004944417|P004944418,2015-10-10T00:00:00.000,POLICE,2015-12-04T09:00:00.000,5528 S CARPENTER ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.79294478440927,-87.65134336311108,"{'type': 'Point', 'coordinates': [-87.65134336311108, 41.79294478440927]}",11,66,21559,409,2
4942,14CP123779,P004570494|P004570495|P004570496|P004570497|P004570498|P004570499,2014-08-17T00:00:00.000,POLICE,2014-10-03T09:00:00.000,5617 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.7915595026977,-87.68507893092077,"{'type': 'Point', 'coordinates': [-87.68507893092077, 41.7915595026977]}",58,61,21867,112,3
4943,13CP054460,P003769337|P003769338,2013-06-13T00:00:00.000,POLICE,2013-08-02T13:00:00.000,3719 W GRENSHAW ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"GMAC MORTGAGE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.86705267080337,-87.71865212520993,"{'type': 'Point', 'coordinates': [-87.71865212520993, 41.86705267080337]}",30,30,21572,98,14
4944,23CP002239,P006069225|P006069226|P006069227|P006069228|P006069229|P006069230,2023-01-17T00:00:00.000,POLICE,2023-03-03T09:00:00.000,271 W 71ST ST ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.76528846923274,-87.63215036219006,"{'type': 'Point', 'coordinates': [-87.63215036219006, 41.76528846923274]}",11,67,21559,494,32
4945,17CP094719,P005236776|P005236777|P005236778|P005236779|P005236780|P005236781,2017-08-22T00:00:00.000,POLICE,2017-12-01T09:00:00.000,2223 W 21ST ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",Default - Liable by prove-up,4300,0,78.12,1223.88,0,5642,5000,0,,,,,,,,
4946,21CP011312,P005867054|P005867055|P005867056|P005867058,2021-07-26T00:00:00.000,POLICE,2021-09-03T09:00:00.000,4817 S WINCHESTER AV ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"HSBC BANK USA NA, ",City non-suit,0,0,0,0,0,0,0,0,41.80616128450363,-87.67326874635528,"{'type': 'Point', 'coordinates': [-87.67326874635528, 41.80616128450363]}",37,59,14924,709,3
4947,13CP087442,P004175511|P004175513|P004175515,2013-10-07T00:00:00.000,POLICE,2013-12-06T09:00:00.000,7028 S EGGLESTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"BANK OF NEW YORK MELLON, ",City non-suit,1300,0,15.85,377.88,0,1733.73,1727.79,-0.01,41.76626765808031,-87.63610496573055,"{'type': 'Point', 'coordinates': [-87.63610496573055, 41.76626765808031]}",11,66,21559,479,32
4948,12CP004450,P003141109|P003141110,2012-01-02T00:00:00.000,POLICE,2012-03-02T09:00:00.000,5244 S SACRAMENTO ,13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.79773796601679,-87.69894256338829,"{'type': 'Point', 'coordinates': [-87.69894256338829, 41.79773796601679]}",56,61,22248,777,8
4949,17CP003177,P005076186|P005076187|P005076188|P005076189,2016-12-27T00:00:00.000,POLICE,2017-03-03T13:00:00.000,838 N KEYSTONE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.89655847613737,-87.72749785188763,"{'type': 'Point', 'coordinates': [-87.72749785188763, 41.89655847613737]}",5,24,4299,99,45
4950,15CP048286,P004658915|P004659081|P004659082|P004659083|P004659084|P004659085,2015-03-31T00:00:00.000,POLICE,2015-06-05T13:00:00.000,1311 S HARDING ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.863986896743924,-87.72373961033358,"{'type': 'Point', 'coordinates': [-87.72373961033358, 41.863986896743924]}",57,30,21569,33,14
