NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,state,county,tract,year
"Census Tract 2715, Cook County, Illinois",263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,17.0,21.0,28.0,91.0,25.0,57.0,0.0,0.0,0.0,0.0,17,031,271500,2010
"Census Tract 2718, Cook County, Illinois",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,271800,2010
"Census Tract 2801, Cook County, Illinois",1313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,61.0,227.0,361.0,365.0,185.0,53.0,17.0,17,031,280100,2010
"Census Tract 2804, Cook County, Illinois",112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,28.0,53.0,14.0,6.0,0.0,0.0,0.0,17,031,280400,2010
"Census Tract 2808, Cook County, Illinois",26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,17,031,280800,2010
"Census Tract 2809, Cook County, Illinois",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,4.0,13.0,0.0,0.0,17,031,280900,2010
"Census Tract 2819, Cook County, Illinois",808.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,33.0,0.0,0.0,17.0,108.0,132.0,271.0,80.0,84.0,19.0,13.0,17,031,281900,2010
"Census Tract 2827, Cook County, Illinois",375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,21.0,119.0,102.0,97.0,6.0,0.0,0.0,11.0,17,031,282700,2010
"Census Tract 2828, Cook County, Illinois",296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,16.0,149.0,32.0,0.0,0.0,17,031,282800,2010
"Census Tract 2831, Cook County, Illinois",116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0,29.0,44.0,7.0,0.0,17,031,283100,2010
